三列数据分别表示t265的pitch, roll, yaw(t265坐标系下向前走一米)
move前：-1.4474405364247513	-174.36635168891584	179.73873205501988
move后：-1.1614646771109576	-174.4843319657815	179.71966018866866
move前：-1.1613134000054	-174.48394700739956	179.7205814553534
move后：-1.6699354631428174	-173.65608849660387	179.92039119938858
move前：-1.6698935133608686	-173.65490318876428	179.91952289840785
move后：-1.4407570383625863	-174.08183374779463	-179.91087387014272
move前：-1.4412330555250454	-174.08240368743026	-179.91007365696612
move后：-1.6212479629737968	-173.73093456512734	-179.48888971799835
move前：-1.6196027915277318	-173.73042280620672	-179.48947081164863
move后：-1.3414199489466614	-174.00767144573356	-179.64443994967544
move前：-1.3421034695600524	-174.00735872026854	-179.64408127667969
move后：-1.0993658707542304	-174.0401618264191	-179.30104319630547
