三列数据分别表示t265的pitch, roll, yaw(t265坐标系下向前走一米)
move前：-1.3147637265856569	-174.33672673858095	179.79812596252128
move后：-1.11622016297194	-174.32284143835977	179.67344670019872
move前：-1.117228247222448	-174.3229978505033	179.67373404137652
move后：-1.519530144159854	-174.04351282263062	-179.96804914308794
move前：-1.5212813059754657	-174.0405601466291	-179.96284720892103
move后：-1.3352331308814485	-174.07216165522024	179.93930457031215
move前：-1.337155159158164	-174.07222071691623	179.93866167580833
move后：-1.6441916128447542	-174.16827365847075	-179.9042269243464
move前：-1.640831108524598	-174.169481114341	-179.90180207988095
move后：-1.501776197657396	-173.86277577175858	-179.59138470795187
move前：-1.5010664065809092	-173.86271789250432	-179.5903703416381
move后：-1.4425304385381534	-173.9079580302089	-178.9198655587032
